book,page,img,panel_area,panel_width,panel_length,balloon_to_panel_ratio,detected_chars,character_model_confidence,balloon_model_confidence,detected_balloon_numbers,associated_balloon_numbers,associated_characters,text
T_19,1,ROI_15.png,324720,528,615,0.092,[],['NONE'],[0.64],1,[],{0: 'NaN'},"['one evening, at the cinema. ']"
T_19,1,ROI_17.png,338250,550,615,0.135,"['haddock', 'tintin']","[0.877, 0.834]","[0.979, 0.923]",2,"['1', '2']","{0: 'tintin', 1: 'haddock'}","['Did you enjoy the film, Captain? ', 'Oh yes.. 50-50. so ']"
T_19,1,ROI_18.png,458920,745,616,0.2,"['tintin', 'haddock']","[0.89, 0.765]","[0.899, 0.766]",2,"['1', '2']","{0: 'tintin', 1: 'haddock'}","[""He looks like Alcazar ; don't you think so? "", 'The chap who played the lead is a good actor. ']"
T_19,1,ROI_19.png,329104,536,614,0.409,"['haddock', 'tintin']","[0.957, 0.901]",[0.963],1,['1'],{0: 'haddock'},"[""but the end was too improbable. The old uncle hasin't seen his nephew for twenty years... he starts thinking about him. the door who's there? The nephew! ""]"
T_19,1,ROI_20.png,386835,629,615,0.147,[],['NONE'],[0.845],1,[],{0: 'NaN'},"[""It's as if if was thinking of. il don't know, someone or other. ""]"
T_19,1,ROI_21.png,405986,658,617,0.26,"['haddock', 'tintin']","[0.968, 0.939]",[0.903],1,['1'],{0: 'haddock'},"['Forexample, take General Alcazar, whom. you he completely vanished from our lives. years ago ']"
T_19,1,ROI_22.png,349410,570,613,0.258,['haddock'],[0.719],[0.97],1,['1'],{0: 'haddock'},"[""well, d'you suppose, if just think about him he'll pop up on the street corner, like that, bingo 2. ""]"
T_19,1,ROI_23.png,386835,629,615,0.023,"['haddock', 'tintin']","[0.899, 0.709]",[0.958],1,['1'],{0: 'tintin'},['!']
T_19,1,ROI_24.png,381923,619,617,0.303,"['haddock', 'tintin', 'haddock']","[0.913, 0.829, 0.801]","[0.891, 0.867, 0.846]",3,"['1', '2', '3']","{0: 'tintin', 1: 'haddock', 2: 'haddock'}","[""it's general alcazar! "", ""look here. you misguided mis- sile, you! Can't you watch where you're going? "", 'caramba! ']"
T_19,2,ROI_26.png,387434,631,614,0.262,"['haddock', 'tintin']","[0.973, 0.871]","[0.846, 0.706]",2,['2'],"{0: 'NaN', 1: 'tintin'}","['que? of me? ', ""It's extraordinary! imagine The Captain and l were just this moment talking about you! ""]"
T_19,2,ROI_27.png,354314,578,613,0.474,"['haddock', 'tintin']","[0.966, 0.942]","[0.924, 0.844]",2,['2'],"{0: 'NaN', 1: 'tintin'}","['me? err. well. travel but. ', ""yes, weren't we, cap- tain 7 then up you pop like a jack-in-a-box. It's incredible but tell me, General, what doing nowadays? are you ""]"
T_19,2,ROI_28.png,380060,620,613,0.397,"['haddock', 'tintin']","[0.963, 0.92]","[0.926, 0.766]",2,['1'],"{0: 'tintin', 1: 'NaN'}","[""oh, what a pity. At all events, here's my address. And where can we find you. gen, "", 'por favor. excuse please. mucho hurry. Already late for appointment go now. ']"
T_19,2,ROI_29.png,312928,508,616,0.252,"['haddock', 'tintin']","[0.97, 0.925]","[0.928, 0.907]",2,['1'],"{0: 'tintin', 1: 'NaN'}","['good The Bristol. And when do you ', 'err. um. err. thees Hotel Bristol ']"
T_19,2,ROI_30.png,287205,467,615,0.226,"['haddock', 'tintin']","[0.962, 0.906]","[0.935, 0.898]",2,['1'],"{0: 'haddock', 1: 'NaN'}","['goodbye, general : ', 'just so now I go adios, amigos! ']"
T_19,2,ROI_31.png,525210,854,615,0.0,"['tintin', 'haddock']","[0.905, 0.882]",[],0,[],{},[]
T_19,2,ROI_33.png,211288,343,616,0.192,"['haddock', 'tintin']","[0.963, 0.899]",[0.957],1,['1'],{0: 'tintin'},"['yes, an odd Oh well, come on. ']"
T_19,2,ROI_34.png,241302,393,614,0.081,"['haddock', 'tintin']","[0.969, 0.786]","[0.882, 0.857]",2,"['1', '2']","{0: 'tintin', 1: 'haddock'}","['o.h. ', '!']"
T_19,2,ROI_35.png,214635,349,615,0.248,"['haddock', 'tintin']","[0.948, 0.918]",[0.956],1,['1'],{0: 'tintin'},"[""crumbs! It's the general's wallet. He didn't put iit. right inside his pocket. ""]"
T_19,2,ROI_36.png,443623,719,617,0.083,[],['NONE'],[0.612],1,[],{0: 'NaN'},"[""quick! He can't have got far. ""]"
T_19,2,ROI_37.png,442904,719,616,0.086,"['haddock', 'tintin']","[0.901, 0.81]",[0.686],1,['1'],{0: 'tintin'},"[""hello, where's he gone ""]"
T_19,2,ROI_38.png,297176,484,614,0.308,"['haddock', 'tintin']","[0.956, 0.93]",[0.95],1,['1'],{0: 'tintin'},"[""perhaps he got. into a car. Never mind. The Hotel Bristol is quite near ; we'll leave his wallet there. ""]"
T_19,2,ROI_39.png,383157,621,617,0.14,['haddock'],[0.952],[0.669],1,[],{0: 'NaN'},"['General Alcazar? no, we have no one of that name here ']"
T_19,3,ROI_41.png,298275,485,615,0.402,"['haddock', 'tintin']","[0.955, 0.863]","[0.933, 0.911]",2,['2'],"{0: 'NaN', 1: 'haddock'}","['Ramon Zarate?. no, sir. A Spanish gentleman? ', ""wonder perhaps he's registered under another Ramon Zarate? name ""]"
T_19,3,ROI_42.png,262977,429,613,0.343,['haddock'],[0.853],[0.921],1,[],{0: 'NaN'},"[""South American. a long chin. small monistache. Wait, I'll try. to draw him for you. ""]"
T_19,3,ROI_43.png,234624,384,611,0.137,[],['NONE'],[0.845],1,[],{0: 'NaN'},"[""there That's about it. ""]"
T_19,3,ROI_44.png,312832,512,611,0.322,"['haddock', 'tintin']","[0.965, 0.884]","[0.894, 0.835]",2,['2'],"{0: 'NaN', 1: 'haddock'}","[""no, sir. I'm terribly sorry. but know. gentleman. "", ""0h? That's odd. thank you. ""]"
T_19,3,ROI_45.png,232232,377,616,0.314,"['haddock', 'tintin']","[0.923, 0.824]","[0.941, 0.913]",2,"['1', '2']","{0: 'haddock', 1: 'tintin'}","[""Now what can we do to return that idiot's wallet to him? "", ""That's what I'm wondering ""]"
T_19,3,ROI_46.png,263032,427,616,0.356,"['haddock', 'tintin']","[0.971, 0.919]",[0.929],1,['1'],{0: 'tintin'},"[""I say, why shouldn't the wallet itself give us a clue towards find- ing the general. come on : we'll go in here. ""]"
T_19,3,ROI_47.png,240856,391,616,0.0,['tintin'],[0.827],[],0,[],{},[]
T_19,3,ROI_48.png,183900,613,300,0.175,['haddock'],[0.951],[0.928],1,['1'],{0: 'haddock'},"['bring us. "" ever... let\'s see. let\'s see. ']"
T_19,3,ROI_49.png,182336,616,296,0.156,"['haddock', 'tintin']","[0.953, 0.908]",[0.961],1,['1'],{0: 'haddock'},['Two glasses of ginger beer. ']
T_19,3,ROI_50.png,287205,467,615,0.195,"['haddock', 'tintin']","[0.962, 0.875]",[0.921],1,['1'],{0: 'tintin'},"['now. then, inside here. ']"
T_19,3,ROI_51.png,396644,646,614,0.32,[],['NONE'],[0.693],1,[],{0: 'NaN'},"['pound notes, French and Belgian money. a hotel bill, a four-leaf a lottery ticket from San theodoros. in fact, nothing to give us a lead ']"
T_19,3,ROI_52.png,439521,717,613,0.0,[],['NONE'],[],0,[],{},[]
T_19,3,ROI_53.png,247039,403,613,0.241,"['tintin', 'haddock']","[0.912, 0.903]",[0.954],1,['1'],{0: 'tintin'},"[""ah, a letter. this il think we're to something. on Look, Captain. ""]"
T_19,3,ROI_54.png,334630,545,614,0.0,[],['NONE'],[],0,[],{},[]
T_19,3,ROI_55.png,265429,433,613,0.373,"['haddock', 'tintin']","[0.962, 0.918]","[0.948, 0.767]",2,['2'],"{0: 'NaN', 1: 'haddock'}","[""know, but I'll ring up the number given in the letter. "", ""but the general's address isn't here. ""]"
T_19,3,ROI_56.png,265065,431,615,0.358,['tintin'],[0.919],[0.934],1,['1'],{0: 'tintin'},"['Hello, is that PICK 85247 may speak to debrett. Who am I? A friend of General hello? hello? ']"
T_19,4,ROI_58.png,269629,437,617,0.522,['tintin'],[0.901],[0.917],1,['1'],{0: 'tintin'},"[""Can you You don't know 2 What about Ramon you see, sir, I found his wallet and beg your pardon? ""]"
T_19,4,ROI_59.png,248460,404,615,0.469,['tintin'],[0.894],[0.829],1,['1'],{0: 'tintin'},"[""tell you, sir, il ann not Mr. Debrett don't know your Gen- eral Alhambra, and I am not interested in your story goodbye ""]"
T_19,4,ROI_60.png,186656,304,614,0.129,['tintin'],[0.94],[0.971],1,['1'],{0: 'tintin'},"[""there's polite- ness for you ""]"
T_19,4,ROI_61.png,408310,665,614,0.203,['haddock'],[0.96],[0.806],1,[],{0: 'NaN'},"[""very. odd they at that number. Too bad. we'd better be getting home to Marlinspike. ""]"
T_19,4,ROI_63.png,393574,641,614,0.086,"['haddock', 'tintin']","[0.835, 0.73]",[0.92],1,['1'],{0: 'haddock'},"[""How strange the front door's open. ""]"
T_19,4,ROI_64.png,291650,475,614,0.209,[],['NONE'],"[0.841, 0.839, 0.838]",3,[],"{0: 'NaN', 1: 'NaN', 2: 'NaN'}","['?', 'WOOAAAAH. "" WOODAAA.H.... ', '!']"
